"item_id","item_type_id","title","description","genre_id","ISBN","publication_year","publication_date","publisher","issue_number","explicit","rating_id","total_quantity","quantity_available","reservation_amount"
"1","1","The Great Gatsby","A mysterious millionaire throws lavish parties in pursuit of a lost love.","10","9780743273565","1925","2025-04-10","Charles Scribner's Sons",NULL,"0",NULL,"5","5","1"
"2","1","To Kill a Mockingbird","A young girl grows up in the racially charged South during the 1930s.","10","9780061120084","1960","1960-07-11","J.B. Lippincott & Co.",NULL,"0",NULL,"7","7","0"
"3","1","Nineteen Eighty-Four","A dystopian society is ruled by surveillance and oppressive government.","6","9780451524935","1949","1949-06-08","Secker & Warburg",NULL,"0",NULL,"6","6","0"
"4","1","The Catcher in the Rye","A disenchanted teenager wanders New York City in search of meaning.","10","9780316769488","1951","1951-07-16","Little, Brown and Company",NULL,"1",NULL,"8","8","0"
"5","1","The Hobbit","A hobbit is swept into a quest to reclaim a dwarven treasure hoard.","1","9780345339683","1937","1937-09-21","George Allen & Unwin",NULL,"0",NULL,"4","4","0"
"6","1","Harry Potter and the Sorcerer's Stone","A young boy discovers he's a wizard and begins his magical education.","1","9780590353427","1997","1997-06-26","Bloomsbury",NULL,"0",NULL,"9","9","0"
"7","1","The Da Vinci Code","A symbologist uncovers secrets hidden in art and history after a murder.","2","9780385504201","2003","2003-03-18","Doubleday",NULL,"1",NULL,"10","10","0"
"8","1","The Alchemist","A shepherd boy dreams of finding treasure and embarks on a spiritual quest.","10","9780061122415","1988","1988-04-15","HarperTorch",NULL,"0",NULL,"3","3","0"
"9","1","Pride and Prejudice","A romantic clash of manners and class in 19th-century England.","4","9781503290563","1813","1813-01-28","T. Egerton",NULL,"0",NULL,"2","2","0"
"10","1","A Game of Thrones","Noble families vie for control of the Iron Throne in a brutal fantasy realm.","1","9780553103540","1996","1996-08-06","Bantam Spectra",NULL,"1",NULL,"6","5","0"
"11","1","The Name of the Wind","A gifted young man grows into a powerful wizard in a world of magic.","1","9780756404741","2007","2007-03-27","DAW Books",NULL,"0",NULL,"7","7","0"
"12","1","Gone Girl","A woman's disappearance turns into a media frenzy with dark secrets.","2","9780307588371","2012","2012-06-05","Crown Publishing Group",NULL,"1",NULL,"4","4","0"
"13","1","The Haunting of Hill House","A group of people investigate a mansion with a sinister reputation.","3","9780143039983","1959","1959-10-16","Viking Press",NULL,"1",NULL,"5","5","0"
"14","1","Outlander","A WWII nurse is swept back in time to 18th-century Scotland and finds love.","4","9780440212560","1991","1991-06-01","Delacorte Press",NULL,"1",NULL,"9","9","0"
"15","1","Milk and Honey","A collection of poetry on love, loss, trauma, and healing.","5","9781449474256","2014","2014-11-04","Andrews McMeel Publishing",NULL,"1",NULL,"6","6","0"
